code	title_sv	parent	depth	breadcrumb	table
HSD.141	Läkt för överläggsplattor e d på yttertak	HSD.14	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak	produktionsresultat
HSD.1411	Fribärande takpanneläkt på takstol eller uppregling	HSD.141	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak > HSD.1411 Fribärande takpanneläkt på takstol eller uppregling	produktionsresultat
HSD.1412	Takpanneläkt på inbrädning	HSD.141	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak > HSD.1412 Takpanneläkt på inbrädning	produktionsresultat
HSD.1413	Läkt för överläggsplattor av skiffer på inbrädning	HSD.141	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak > HSD.1413 Läkt för överläggsplattor av skiffer på inbrädning	produktionsresultat
HSD.1414	Läkt för träspån	HSD.141	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak > HSD.1414 Läkt för träspån	produktionsresultat
HSD.1415	Fribärande läkt för överläggsplattor av profilerad plåt e d på takstol eller uppregling	HSD.141	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.141 Läkt för överläggsplattor e d på yttertak > HSD.1415 Fribärande läkt för överläggsplattor av profilerad plåt e d på takstol eller uppregling	produktionsresultat
HSD.142	Nockplankor, vindskivor och vattbräder	HSD.14	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.142 Nockplankor, vindskivor och vattbräder	produktionsresultat
HSD.1421	Nockplankor	HSD.142	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.142 Nockplankor, vindskivor och vattbräder > HSD.1421 Nockplankor	produktionsresultat
HSD.1422	Vindskivor	HSD.142	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.142 Nockplankor, vindskivor och vattbräder > HSD.1422 Vindskivor	produktionsresultat
HSD.1423	Vattbräder	HSD.142	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.142 Nockplankor, vindskivor och vattbräder > HSD.1423 Vattbräder	produktionsresultat
