code	title_sv	parent	depth	breadcrumb	table
64.CC	Teletekniska kontrollsystem	64.C	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem	byggdel
64.CCB	Entré- och passerkontrollsystem	64.CC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem > 64.CCB Entré- och passerkontrollsystem	byggdel
64.CCB/1	Entré- och passerkontrollsystem – ellåssystem	64.CCB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem > 64.CCB Entré- och passerkontrollsystem > 64.CCB/1 Entré- och passerkontrollsystem – ellåssystem	byggdel
64.CCB/2	Entré- och passerkontrollsystem – kodlåssystem	64.CCB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem > 64.CCB Entré- och passerkontrollsystem > 64.CCB/2 Entré- och passerkontrollsystem – kodlåssystem	byggdel
64.CCB/3	Entré- och passerkontrollsystem – passerkontrollsystem	64.CCB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem > 64.CCB Entré- och passerkontrollsystem > 64.CCB/3 Entré- och passerkontrollsystem – passerkontrollsystem	byggdel
64.CCC	Dörrkontrollsystem	64.CC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.C Teletekniska säkerhetssystem > 64.CC Teletekniska kontrollsystem > 64.CCC Dörrkontrollsystem	byggdel
64.D	Teletekniska signalsystem	64	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem	byggdel
64.DB	Händelseaktiverade signalsystem	64.D	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem	byggdel
64.DBB	Entrésignalsystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBB Entrésignalsystem	byggdel
64.DBB/1	Entrésignalsystem – system för momentan anropssignal	64.DBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBB Entrésignalsystem > 64.DBB/1 Entrésignalsystem – system för momentan anropssignal	byggdel
64.DBB/2	Entrésignalsystem – system för kvarstående anropssignal	64.DBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBB Entrésignalsystem > 64.DBB/2 Entrésignalsystem – system för kvarstående anropssignal	byggdel
64.DBB/3	Entrésignalsystem – system för upptagen- och vänta-signal	64.DBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBB Entrésignalsystem > 64.DBB/3 Entrésignalsystem – system för upptagen- och vänta-signal	byggdel
64.DBB/4	Entrésignalsystem – system för upptagetsignal	64.DBB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBB Entrésignalsystem > 64.DBB/4 Entrésignalsystem – system för upptagetsignal	byggdel
64.DBC	Kallelsesignalsystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBC Kallelsesignalsystem	byggdel
64.DBD	Resultatmarkeringssystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBD Resultatmarkeringssystem	byggdel
64.DBE	Kösignalsystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBE Kösignalsystem	byggdel
