# DIN 276 2008.12 → 2018.12 (dual-column rows from WEKA PDF only)
# din276_2008	title_2008	din276_2018	title_2018
734	Planung der Ingenieurbauwerke und	733	Ingenieurbauwerke
734	Planung der Ingenieurbauwerke und	734	Verkehrsanlagen
735	Tragwerksplanung	741	Tragwerksplanung
739	Architekten- und Ingenieurleistun-	739	Sonstiges zur KG 730
740	Gutachten und Beratung	740	Fachplanung
741	Thermische Bauphysik	743	Bauphysik
742	Schallschutz und Raumakustik	743	Bauphysik
744	Vermessung	745	Ingenieurvermessung
745	Lichttechnik, Tageslichttechnik	746	Lichttechnik, Tageslichttechnik
746	Brandschutz	747	Brandschutz
747	Sicherheits- und Gesundheitsschutz	714	Sicherheits- und Gesundheitsschutz-
748	Umweltschutz, Altlasten	748	Altlasten, Kampfmittel,
749	Gutachten und Beratung, sonstiges	749	Sonstiges zur KG 740
750	Künstlerische Leistungen	750	Künstlerische Leistungen
751	Kunstwettbewerbe	751	Kunstwettbewerbe
752	Honorare	752	Honorare
759	Künstlerische Leistungen, sonstiges	759	Sonstiges zur KG 750
760	Finanzierungskosten	800	Finanzierung
761	Finanzierungsbeschaffung	810	Finanzierungsnebenkosten
762	Fremdkapitalzinsen	820	Fremdkapitalzinsen
763	Eigenkapitalzinsen	830	Eigenkapitalzinsen
769	Finanzierungskosten, sonstiges	890	Sonstige Finanzierungskosten
770	Allgemeine Baunebenkosten	760	Allgemeine Baunebenkosten
771	Prüfung, Genehmigungen,	762	Prüfungen, Genehmigungen,
772	Bewirtschaftungskosten	763	Bewirtschaftungskosten
773	Bemusterungskosten	764	Bemusterungskosten
774	Betriebskosten nach der Abnahme	765	Betriebskosten nach der Abnahme
775	Versicherungen	766	Versicherungen
779	Allgemeine Baunebenkosten,	769	Sonstiges zur KG 760
790	Sonstige Baunebenkosten	790	Sonstige Baunebenkosten
